date,object,value
2005-10-01,asset_acquisition,1214
2006-01-01,asset_acquisition,17
2006-04-01,asset_acquisition,114
2006-07-01,asset_acquisition,253
2006-10-01,asset_acquisition,1565
2007-01-01,asset_acquisition,96
2007-04-01,asset_acquisition,188
2007-07-01,asset_acquisition,433
2007-10-01,asset_acquisition,1816
2008-01-01,asset_acquisition,44
2008-04-01,asset_acquisition,266
2008-07-01,asset_acquisition,508
2008-10-01,asset_acquisition,2017
2009-01-01,asset_acquisition,71
2009-04-01,asset_acquisition,395
2009-07-01,asset_acquisition,497
2009-10-01,asset_acquisition,1619
2010-01-01,asset_acquisition,136
2010-04-01,asset_acquisition,150
2010-07-01,asset_acquisition,176
2010-10-01,asset_acquisition,1407
2011-01-01,asset_acquisition,91
2011-04-01,asset_acquisition,160
2011-07-01,asset_acquisition,650
2011-10-01,asset_acquisition,1764
2012-01-01,asset_acquisition,99
2012-04-01,asset_acquisition,260
2012-07-01,asset_acquisition,311
2012-10-01,asset_acquisition,1100
2013-01-01,asset_acquisition,17
2013-04-01,asset_acquisition,193
2013-07-01,asset_acquisition,198
2013-10-01,asset_acquisition,1008
2014-01-01,asset_acquisition,85
2014-04-01,asset_acquisition,138
