state,district,stage,sex,date,teachers
Johor,Muar,primary,female,2023-06-30,1587
Johor,Muar,primary,female,2024-06-30,1618
Johor,Muar,primary,female,2025-06-30,1630
Johor,Muar,primary,male,2017-01-01,690
Johor,Muar,primary,male,2018-01-01,683
Johor,Muar,primary,male,2019-01-01,663
Johor,Muar,primary,male,2020-01-01,658
Johor,Muar,primary,male,2021-01-01,647
Johor,Muar,primary,male,2022-01-01,630
Johor,Muar,primary,male,2023-06-30,612
Johor,Muar,primary,male,2024-06-30,625
Johor,Muar,primary,male,2025-06-30,623
Johor,Muar,secondary,both,2017-01-01,1814
Johor,Muar,secondary,both,2018-01-01,1849
Johor,Muar,secondary,both,2019-01-01,1862
Johor,Muar,secondary,both,2020-01-01,1863
Johor,Muar,secondary,both,2021-01-01,1837
Johor,Muar,secondary,both,2022-01-01,1885
Johor,Muar,secondary,both,2023-06-30,1881
Johor,Muar,secondary,both,2024-06-30,1911
Johor,Muar,secondary,both,2025-06-30,1905
Johor,Muar,secondary,female,2017-01-01,1205
Johor,Muar,secondary,female,2018-01-01,1244
Johor,Muar,secondary,female,2019-01-01,1270
Johor,Muar,secondary,female,2020-01-01,1276
Johor,Muar,secondary,female,2021-01-01,1256
Johor,Muar,secondary,female,2022-01-01,1297
Johor,Muar,secondary,female,2023-06-30,1304
Johor,Muar,secondary,female,2024-06-30,1324
Johor,Muar,secondary,female,2025-06-30,1334
Johor,Muar,secondary,male,2017-01-01,609
Johor,Muar,secondary,male,2018-01-01,605
Johor,Muar,secondary,male,2019-01-01,592
Johor,Muar,secondary,male,2020-01-01,587
Johor,Muar,secondary,male,2021-01-01,581
Johor,Muar,secondary,male,2022-01-01,588
Johor,Muar,secondary,male,2023-06-30,577
Johor,Muar,secondary,male,2024-06-30,587
Johor,Muar,secondary,male,2025-06-30,571
Johor,Pontian,primary,both,2017-01-01,1689
Johor,Pontian,primary,both,2018-01-01,1749
Johor,Pontian,primary,both,2019-01-01,1704
Johor,Pontian,primary,both,2020-01-01,1709
Johor,Pontian,primary,both,2021-01-01,1670
Johor,Pontian,primary,both,2022-01-01,1624
Johor,Pontian,primary,both,2023-06-30,1615
Johor,Pontian,primary,both,2024-06-30,1640
Johor,Pontian,primary,both,2025-06-30,1670
Johor,Pontian,primary,female,2017-01-01,1142
Johor,Pontian,primary,female,2018-01-01,1212
Johor,Pontian,primary,female,2019-01-01,1182
Johor,Pontian,primary,female,2020-01-01,1185
Johor,Pontian,primary,female,2021-01-01,1160
Johor,Pontian,primary,female,2022-01-01,1130
Johor,Pontian,primary,female,2023-06-30,1127
Johor,Pontian,primary,female,2024-06-30,1158
Johor,Pontian,primary,female,2025-06-30,1185
Johor,Pontian,primary,male,2017-01-01,547
Johor,Pontian,primary,male,2018-01-01,537
Johor,Pontian,primary,male,2019-01-01,522
Johor,Pontian,primary,male,2020-01-01,524
Johor,Pontian,primary,male,2021-01-01,510
Johor,Pontian,primary,male,2022-01-01,494
Johor,Pontian,primary,male,2023-06-30,488
Johor,Pontian,primary,male,2024-06-30,482
Johor,Pontian,primary,male,2025-06-30,485
Johor,Pontian,secondary,both,2017-01-01,1242
Johor,Pontian,secondary,both,2018-01-01,1251
Johor,Pontian,secondary,both,2019-01-01,1262
Johor,Pontian,secondary,both,2020-01-01,1245
Johor,Pontian,secondary,both,2021-01-01,1212
Johor,Pontian,secondary,both,2022-01-01,1212
Johor,Pontian,secondary,both,2023-06-30,1210
Johor,Pontian,secondary,both,2024-06-30,1214
Johor,Pontian,secondary,both,2025-06-30,1199
Johor,Pontian,secondary,female,2017-01-01,838
Johor,Pontian,secondary,female,2018-01-01,860
Johor,Pontian,secondary,female,2019-01-01,882
Johor,Pontian,secondary,female,2020-01-01,872
Johor,Pontian,secondary,female,2021-01-01,856
Johor,Pontian,secondary,female,2022-01-01,859
Johor,Pontian,secondary,female,2023-06-30,861
Johor,Pontian,secondary,female,2024-06-30,867
Johor,Pontian,secondary,female,2025-06-30,869
Johor,Pontian,secondary,male,2017-01-01,404
Johor,Pontian,secondary,male,2018-01-01,391
Johor,Pontian,secondary,male,2019-01-01,380
Johor,Pontian,secondary,male,2020-01-01,373
Johor,Pontian,secondary,male,2021-01-01,356
Johor,Pontian,secondary,male,2022-01-01,353
Johor,Pontian,secondary,male,2023-06-30,349
Johor,Pontian,secondary,male,2024-06-30,347
Johor,Pontian,secondary,male,2025-06-30,330
Johor,Segamat,primary,both,2017-01-01,1839
Johor,Segamat,primary,both,2018-01-01,1932
Johor,Segamat,primary,both,2019-01-01,1905
Johor,Segamat,primary,both,2020-01-01,1884
Johor,Segamat,primary,both,2021-01-01,1874
Johor,Segamat,primary,both,2022-01-01,1795
Johor,Segamat,primary,both,2023-06-30,1797
Johor,Segamat,primary,both,2024-06-30,1813
Johor,Segamat,primary,both,2025-06-30,1833
Johor,Segamat,primary,female,2017-01-01,1283
