year,state,jobs,addicts
2020-01-01,Malaysia,kerajaan,
2021-01-01,Malaysia,kerajaan,
2022-01-01,Malaysia,kerajaan,
2023-01-01,Malaysia,kerajaan,165
2020-01-01,Johor,kerajaan,
2021-01-01,Johor,kerajaan,
2022-01-01,Johor,kerajaan,
2023-01-01,Johor,kerajaan,17
2020-01-01,Kedah,kerajaan,
2021-01-01,Kedah,kerajaan,
2022-01-01,Kedah,kerajaan,
2023-01-01,Kedah,kerajaan,10
2020-01-01,Kelantan,kerajaan,
2021-01-01,Kelantan,kerajaan,
2022-01-01,Kelantan,kerajaan,
2023-01-01,Kelantan,kerajaan,6
2020-01-01,Melaka,kerajaan,
2021-01-01,Melaka,kerajaan,
2022-01-01,Melaka,kerajaan,
2023-01-01,Melaka,kerajaan,4
2020-01-01,Negeri Sembilan,kerajaan,
2021-01-01,Negeri Sembilan,kerajaan,
2022-01-01,Negeri Sembilan,kerajaan,
2023-01-01,Negeri Sembilan,kerajaan,6
2020-01-01,Pahang,kerajaan,
2021-01-01,Pahang,kerajaan,
2022-01-01,Pahang,kerajaan,
2023-01-01,Pahang,kerajaan,12
2020-01-01,Perak,kerajaan,
2021-01-01,Perak,kerajaan,
2022-01-01,Perak,kerajaan,
2023-01-01,Perak,kerajaan,18
2020-01-01,Perlis,kerajaan,
2021-01-01,Perlis,kerajaan,
2022-01-01,Perlis,kerajaan,
2023-01-01,Perlis,kerajaan,3
2020-01-01,Pulau Pinang,kerajaan,
2021-01-01,Pulau Pinang,kerajaan,
2022-01-01,Pulau Pinang,kerajaan,
2023-01-01,Pulau Pinang,kerajaan,9
2020-01-01,Sabah,kerajaan,
2021-01-01,Sabah,kerajaan,
2022-01-01,Sabah,kerajaan,
2023-01-01,Sabah,kerajaan,10
2020-01-01,Sarawak,kerajaan,
2021-01-01,Sarawak,kerajaan,
2022-01-01,Sarawak,kerajaan,
2023-01-01,Sarawak,kerajaan,13
2020-01-01,Selangor,kerajaan,
2021-01-01,Selangor,kerajaan,
2022-01-01,Selangor,kerajaan,
2023-01-01,Selangor,kerajaan,26
2020-01-01,Terengganu,kerajaan,
2021-01-01,Terengganu,kerajaan,
2022-01-01,Terengganu,kerajaan,
2023-01-01,Terengganu,kerajaan,16
2020-01-01,W.P. Kuala Lumpur,kerajaan,
2021-01-01,W.P. Kuala Lumpur,kerajaan,
2022-01-01,W.P. Kuala Lumpur,kerajaan,
2023-01-01,W.P. Kuala Lumpur,kerajaan,12
2020-01-01,W.P. Labuan,kerajaan,
2021-01-01,W.P. Labuan,kerajaan,
2022-01-01,W.P. Labuan,kerajaan,
2023-01-01,W.P. Labuan,kerajaan,2
