date,volume,value
2021-08-31,218074,72310683.29
2021-09-01,307650,126277568.01
2021-09-02,258975,107195114.47
2021-09-03,240528,124153408.7
2021-09-04,169083,53964798.26
2021-09-05,163975,48913638.33
2021-09-06,249737,120217693.7
2021-09-07,250181,112242359.94
2021-09-08,233851,111049351.22
2021-09-09,205181,104574471.65
2021-09-10,190289,131583868.51
2021-09-11,126336,44771243.78
2021-09-12,111652,37955878.32
2021-09-13,186604,102588794.81
2021-09-14,184965,114586472.29
2021-09-15,191101,122464441.98
2021-09-16,106291,41334596.61
2021-09-17,160521,118577962.52
2021-09-18,101200,40213447.25
2021-09-19,96643,34675682.92
2021-09-20,188764,140505544.32
2021-09-21,175732,108522744.07
2021-09-22,204249,117316955.24
2021-09-23,305707,145272877.0
2021-09-24,275727,162939604.28
2021-09-25,185624,56750214.86
2021-09-26,170512,48362625.59
2021-09-27,278386,167831427.69
2021-09-28,275081,173020355.86
2021-09-29,267051,187544937.79
2021-09-30,336233,193428557.41
2021-10-01,300329,126878445.94
2021-10-02,194243,60757476.38
2021-10-03,165234,49628435.62
2021-10-04,262166,118409303.47
2021-10-05,266713,116949122.23
2021-10-06,251123,125672182.74
2021-10-07,241258,127998773.37
2021-10-08,214806,119481635.29
2021-10-09,135037,47891514.78
2021-10-10,127109,42787555.03
2021-10-11,206597,123846208.92
2021-10-12,185630,107862064.59
2021-10-13,175194,112889923.54
2021-10-14,172598,109092650.68
2021-10-15,176476,141791975.98
2021-10-16,95061,40174179.79
2021-10-17,86674,31770633.84
2021-10-18,162199,99308804.33
2021-10-19,110820,50713343.37
2021-10-20,170844,127523950.47
2021-10-21,173693,130223569.03
2021-10-22,185650,130812758.06
2021-10-23,111621,45942304.27
2021-10-24,115337,38241415.0
2021-10-25,377712,191181137.45
2021-10-26,309820,183924889.17
2021-10-27,265352,178611052.81
2021-10-28,271048,205005053.66
2021-10-29,265944,222233382.99
2021-10-30,189549,65394920.97
2021-10-31,194236,57245992.24
2021-11-01,309641,133722657.83
2021-11-02,258751,119479885.19
2021-11-03,228280,122930916.04
2021-11-04,142151,51690607.9
2021-11-05,208242,120681621.2
2021-11-06,137664,53282262.08
2021-11-07,137433,46390119.3
2021-11-08,236551,126217240.42
2021-11-09,214501,117023957.06
2021-11-10,205638,128146722.82
2021-11-11,181517,116445683.33
2021-11-12,167134,136788690.38
2021-11-13,101864,41713080.49
2021-11-14,96993,39343167.42
2021-11-15,193724,130063864.6
2021-11-16,171906,112730588.61
2021-11-17,158047,117316149.33
2021-11-18,155676,115426407.12
2021-11-19,152766,126296002.88
2021-11-20,96308,42297153.78
2021-11-21,91889,35594171.59
2021-11-22,186973,127395329.34
2021-11-23,178443,118227815.11
2021-11-24,192293,123551120.12
2021-11-25,356123,203311537.42
2021-11-26,292821,222365181.83
2021-11-27,178559,59843013.08
2021-11-28,173783,54260766.53
2021-11-29,302889,229014310.19
2021-11-30,364250,229618362.86
2021-12-01,333015,145353637.55
2021-12-02,277897,121899301.37
2021-12-03,234772,109699218.46
2021-12-04,150674,55901117.15
2021-12-05,147050,47175832.38
2021-12-06,253484,126072666.03
2021-12-07,245187,141188499.18
2021-12-08,228053,120730841.84
2021-12-09,200243,126541734.63
2021-12-10,175112,134577193.22
2021-12-11,104308,44363735.3
2021-12-12,102126,41214547.03
2021-12-13,187419,112296753.79
2021-12-14,179594,114010632.0
2021-12-15,187542,140464787.1
2021-12-16,168362,120229747.63
2021-12-17,157844,117321429.18
2021-12-18,90471,40863724.25
2021-12-19,89095,34809218.46
2021-12-20,261848,140722489.2
2021-12-21,212898,119219555.12
2021-12-22,229172,140726029.38
2021-12-23,226479,148811435.75
2021-12-24,214431,165179288.67
2021-12-25,127769,44163780.06
2021-12-26,135593,45747260.65
2021-12-27,253037,167060929.94
2021-12-28,251596,181870102.73
2021-12-29,237733,161639708.94
2021-12-30,244235,217171163.98
2021-12-31,273865,168538027.72
2022-01-01,169210,53026609.96
2022-01-02,155839,49282728.75
2022-01-03,257179,123837775.65
2022-01-04,237115,116251705.97
2022-01-05,235169,119138805.61
2022-01-06,224973,128934318.78
2022-01-07,221842,142905883.93
2022-01-08,136921,56543168.93
2022-01-09,120792,43829690.04
2022-01-10,216891,132978323.44
2022-01-11,193209,121041387.99
2022-01-12,180545,114797158.53
2022-01-13,172567,139994252.64
2022-01-14,159497,133281369.44
2022-01-15,111022,51089424.38
2022-01-16,97358,34346828.6
2022-01-17,175496,139839144.1
2022-01-18,119774,60847411.58
2022-01-19,174292,132155804.17
2022-01-20,180415,149516318.65
2022-01-21,177831,146472154.47
2022-01-22,115394,46824777.76
2022-01-23,105276,39154276.64
2022-01-24,223325,143908914.91
2022-01-25,402195,205303815.19
2022-01-26,319805,199729338.88
2022-01-27,298407,227057536.98
2022-01-28,323735,278100216.06
2022-01-29,202533,74773945.88
2022-01-30,174799,54750829.14
2022-01-31,287130,160783795.3
2022-02-01,158189,44930811.92
2022-02-02,136902,39445316.19
2022-02-03,197129,76149929.74
2022-02-04,200515,95182506.48
2022-02-05,150787,51249155.73
2022-02-06,151195,45957110.29
2022-02-07,284947,153951254.29
2022-02-08,261235,140550904.83
2022-02-09,235643,135410392.04
2022-02-10,232543,150257751.33
2022-02-11,208240,140053015.54
2022-02-12,127191,54625796.32
2022-02-13,117419,43676114.99
2022-02-14,222919,150956011.02
2022-02-15,224373,164039701.59
2022-02-16,205847,151558765.91
2022-02-17,191017,145067830.86
2022-02-18,181250,166074691.08
2022-02-19,116056,49667563.11
2022-02-20,113582,44664677.04
2022-02-21,218045,166262696.37
2022-02-22,233701,172465758.27
2022-02-23,226280,165215602.08
2022-02-24,245604,213351146.54
2022-02-25,447559,316040396.93
2022-02-26,266443,82892404.06
2022-02-27,255645,74054938.48
2022-02-28,562862,344378404.86
2022-03-01,410871,168504606.53
2022-03-02,322153,149151837.29
2022-03-03,272105,147419989.22
2022-03-04,244332,129931733.74
2022-03-05,160237,57233910.0
2022-03-06,146986,46746275.25
2022-03-07,262616,143608570.05
2022-03-08,240925,127976971.01
2022-03-09,209838,125587204.53
2022-03-10,204576,131673255.48
2022-03-11,179696,121846490.02
2022-03-12,106273,46086763.26
2022-03-13,103155,40198879.96
2022-03-14,200160,139353525.19
2022-03-15,199011,142599243.96
2022-03-16,170963,117603679.71
2022-03-17,163200,112213344.63
