series,date,section,index
growth_yoy,2026-01-01,R,1.6
growth_qoq,2015-04-01,H,-0.3
growth_qoq,2015-04-01,I,1.4
growth_qoq,2015-04-01,J,0.0
growth_qoq,2015-04-01,L,0.0
growth_qoq,2015-04-01,M,0.1
growth_qoq,2015-04-01,P,0.7
growth_qoq,2015-04-01,Q,0.0
growth_qoq,2015-04-01,R,0.7
growth_qoq,2015-07-01,H,1.0
growth_qoq,2015-07-01,I,1.0
growth_qoq,2015-07-01,J,0.0
growth_qoq,2015-07-01,L,0.8
growth_qoq,2015-07-01,M,0.0
growth_qoq,2015-07-01,P,0.1
growth_qoq,2015-07-01,Q,0.1
growth_qoq,2015-07-01,R,0.7
growth_qoq,2015-10-01,H,1.1
growth_qoq,2015-10-01,I,0.7
growth_qoq,2015-10-01,J,0.1
growth_qoq,2015-10-01,L,0.3
growth_qoq,2015-10-01,M,0.8
growth_qoq,2015-10-01,P,0.0
growth_qoq,2015-10-01,Q,0.4
growth_qoq,2015-10-01,R,0.3
growth_qoq,2016-01-01,H,0.4
growth_qoq,2016-01-01,I,0.9
growth_qoq,2016-01-01,J,0.0
growth_qoq,2016-01-01,L,0.3
growth_qoq,2016-01-01,M,0.0
growth_qoq,2016-01-01,P,1.1
growth_qoq,2016-01-01,Q,0.7
growth_qoq,2016-01-01,R,-0.6
growth_qoq,2016-04-01,H,-1.7
growth_qoq,2016-04-01,I,0.5
growth_qoq,2016-04-01,J,0.0
growth_qoq,2016-04-01,L,0.7
growth_qoq,2016-04-01,M,0.1
growth_qoq,2016-04-01,P,0.2
growth_qoq,2016-04-01,Q,0.1
growth_qoq,2016-04-01,R,-0.1
growth_qoq,2016-07-01,H,0.0
growth_qoq,2016-07-01,I,0.7
growth_qoq,2016-07-01,J,0.0
growth_qoq,2016-07-01,L,0.2
growth_qoq,2016-07-01,M,0.0
growth_qoq,2016-07-01,P,0.9
growth_qoq,2016-07-01,Q,0.5
growth_qoq,2016-07-01,R,-0.8
growth_qoq,2016-10-01,H,0.1
growth_qoq,2016-10-01,I,0.7
growth_qoq,2016-10-01,J,0.0
growth_qoq,2016-10-01,L,0.7
growth_qoq,2016-10-01,M,0.6
growth_qoq,2016-10-01,P,0.1
growth_qoq,2016-10-01,Q,0.3
growth_qoq,2016-10-01,R,-1.9
growth_qoq,2017-01-01,H,-0.3
growth_qoq,2017-01-01,I,1.5
growth_qoq,2017-01-01,J,0.0
growth_qoq,2017-01-01,L,0.1
growth_qoq,2017-01-01,M,0.1
growth_qoq,2017-01-01,P,1.5
growth_qoq,2017-01-01,Q,1.7
growth_qoq,2017-01-01,R,-0.1
growth_qoq,2017-04-01,H,0.0
growth_qoq,2017-04-01,I,1.1
growth_qoq,2017-04-01,J,0.1
growth_qoq,2017-04-01,L,1.2
growth_qoq,2017-04-01,M,0.2
growth_qoq,2017-04-01,P,0.4
growth_qoq,2017-04-01,Q,0.3
growth_qoq,2017-04-01,R,0.5
growth_qoq,2017-07-01,H,0.4
growth_qoq,2017-07-01,I,0.7
growth_qoq,2017-07-01,J,0.0
growth_qoq,2017-07-01,L,0.2
growth_qoq,2017-07-01,M,0.0
growth_qoq,2017-07-01,P,0.4
growth_qoq,2017-07-01,Q,0.1
growth_qoq,2017-07-01,R,-0.5
growth_qoq,2017-10-01,H,0.3
growth_qoq,2017-10-01,I,0.8
