date,time,origin,destination,ridership
2022-06-30,08:00,JB Sentral,Woodlands CIQ,143
2022-06-30,08:00,Woodlands CIQ,JB Sentral,194
2022-06-30,09:00,Woodlands CIQ,JB Sentral,264
2022-06-30,10:00,JB Sentral,Woodlands CIQ,103
2022-06-30,11:00,JB Sentral,Woodlands CIQ,97
2022-06-30,11:00,Woodlands CIQ,JB Sentral,240
2022-06-30,12:00,JB Sentral,Woodlands CIQ,96
2022-06-30,12:00,Woodlands CIQ,JB Sentral,195
2022-06-30,13:00,Woodlands CIQ,JB Sentral,100
2022-06-30,14:00,JB Sentral,Woodlands CIQ,104
2022-06-30,15:00,JB Sentral,Woodlands CIQ,158
2022-06-30,15:00,Woodlands CIQ,JB Sentral,65
2022-06-30,16:00,JB Sentral,Woodlands CIQ,241
2022-06-30,16:00,Woodlands CIQ,JB Sentral,72
2022-06-30,17:00,JB Sentral,Woodlands CIQ,241
2022-06-30,17:00,Woodlands CIQ,JB Sentral,99
2022-06-30,18:00,Woodlands CIQ,JB Sentral,236
2022-06-30,19:00,JB Sentral,Woodlands CIQ,240
2022-06-30,20:00,JB Sentral,Woodlands CIQ,245
2022-06-30,20:00,Woodlands CIQ,JB Sentral,244
2022-06-30,21:00,JB Sentral,Woodlands CIQ,243
2022-06-30,21:00,Woodlands CIQ,JB Sentral,144
2022-06-30,22:00,JB Sentral,Woodlands CIQ,194
2022-06-30,22:00,Woodlands CIQ,JB Sentral,87
2022-06-30,23:00,Woodlands CIQ,JB Sentral,16
2022-07-01,05:00,JB Sentral,Woodlands CIQ,306
2022-07-01,06:00,JB Sentral,Woodlands CIQ,480
2022-07-01,07:00,JB Sentral,Woodlands CIQ,481
2022-07-01,08:00,JB Sentral,Woodlands CIQ,173
2022-07-01,08:00,Woodlands CIQ,JB Sentral,240
2022-07-01,09:00,Woodlands CIQ,JB Sentral,321
2022-07-01,10:00,JB Sentral,Woodlands CIQ,121
2022-07-01,11:00,JB Sentral,Woodlands CIQ,129
2022-07-01,11:00,Woodlands CIQ,JB Sentral,261
2022-07-01,12:00,JB Sentral,Woodlands CIQ,90
2022-07-01,12:00,Woodlands CIQ,JB Sentral,248
2022-07-01,13:00,Woodlands CIQ,JB Sentral,244
2022-07-01,14:00,JB Sentral,Woodlands CIQ,93
2022-07-01,15:00,JB Sentral,Woodlands CIQ,141
2022-07-01,15:00,Woodlands CIQ,JB Sentral,246
2022-07-01,16:00,JB Sentral,Woodlands CIQ,242
2022-07-01,16:00,Woodlands CIQ,JB Sentral,241
2022-07-01,17:00,JB Sentral,Woodlands CIQ,239
2022-07-01,17:00,Woodlands CIQ,JB Sentral,324
2022-07-01,18:00,Woodlands CIQ,JB Sentral,322
2022-07-01,19:00,JB Sentral,Woodlands CIQ,238
2022-07-01,20:00,JB Sentral,Woodlands CIQ,242
2022-07-01,20:00,Woodlands CIQ,JB Sentral,320
2022-07-01,21:00,JB Sentral,Woodlands CIQ,241
2022-07-01,21:00,Woodlands CIQ,JB Sentral,324
2022-07-01,22:00,JB Sentral,Woodlands CIQ,240
2022-07-01,22:00,Woodlands CIQ,JB Sentral,324
2022-07-01,23:00,Woodlands CIQ,JB Sentral,242
2022-07-02,05:00,JB Sentral,Woodlands CIQ,157
2022-07-02,06:00,JB Sentral,Woodlands CIQ,187
2022-07-02,07:00,JB Sentral,Woodlands CIQ,226
2022-07-02,08:00,JB Sentral,Woodlands CIQ,228
