state,district,stage,sex,date,students
Johor,Kota Tinggi,secondary,both,2021-01-01,17354
Johor,Kota Tinggi,secondary,both,2022-01-01,17425
Johor,Kota Tinggi,secondary,both,2023-06-30,14437
Johor,Kota Tinggi,secondary,both,2024-06-30,14986
Johor,Kota Tinggi,secondary,both,2025-06-30,15113
Johor,Kota Tinggi,secondary,female,2017-01-01,7885
Johor,Kota Tinggi,secondary,female,2018-01-01,8517
Johor,Kota Tinggi,secondary,female,2019-01-01,8316
Johor,Kota Tinggi,secondary,female,2020-01-01,8394
Johor,Kota Tinggi,secondary,female,2021-01-01,8434
Johor,Kota Tinggi,secondary,female,2022-01-01,8399
Johor,Kota Tinggi,secondary,female,2023-06-30,6876
Johor,Kota Tinggi,secondary,female,2024-06-30,7015
Johor,Kota Tinggi,secondary,female,2025-06-30,7141
Johor,Kota Tinggi,secondary,male,2017-01-01,8179
Johor,Kota Tinggi,secondary,male,2018-01-01,8695
Johor,Kota Tinggi,secondary,male,2019-01-01,8609
Johor,Kota Tinggi,secondary,male,2020-01-01,8697
Johor,Kota Tinggi,secondary,male,2021-01-01,8920
Johor,Kota Tinggi,secondary,male,2022-01-01,9026
Johor,Kota Tinggi,secondary,male,2023-06-30,7561
Johor,Kota Tinggi,secondary,male,2024-06-30,7971
Johor,Kota Tinggi,secondary,male,2025-06-30,7972
Johor,Kota Tinggi,post_secondary,both,2018-01-01,1343
Johor,Kota Tinggi,post_secondary,both,2019-01-01,1302
Johor,Kota Tinggi,post_secondary,both,2020-01-01,735
Johor,Kota Tinggi,post_secondary,both,2021-01-01,578
Johor,Kota Tinggi,post_secondary,both,2022-01-01,669
Johor,Kota Tinggi,post_secondary,both,2023-06-30,649
Johor,Kota Tinggi,post_secondary,both,2024-06-30,576
Johor,Kota Tinggi,post_secondary,both,2025-06-30,897
Johor,Kota Tinggi,post_secondary,female,2018-01-01,693
Johor,Kota Tinggi,post_secondary,female,2019-01-01,681
Johor,Kota Tinggi,post_secondary,female,2020-01-01,339
Johor,Kota Tinggi,post_secondary,female,2021-01-01,256
Johor,Kota Tinggi,post_secondary,female,2022-01-01,287
Johor,Kota Tinggi,post_secondary,female,2023-06-30,230
Johor,Kota Tinggi,post_secondary,female,2024-06-30,224
Johor,Kota Tinggi,post_secondary,female,2025-06-30,410
Johor,Kota Tinggi,post_secondary,male,2018-01-01,650
Johor,Kota Tinggi,post_secondary,male,2019-01-01,621
Johor,Kota Tinggi,post_secondary,male,2020-01-01,396
Johor,Kota Tinggi,post_secondary,male,2021-01-01,322
Johor,Kota Tinggi,post_secondary,male,2022-01-01,382
Johor,Kota Tinggi,post_secondary,male,2023-06-30,419
Johor,Kota Tinggi,post_secondary,male,2024-06-30,352
Johor,Kota Tinggi,post_secondary,male,2025-06-30,487
Johor,Kulai,primary,both,2017-01-01,32842
Johor,Kulai,primary,both,2018-01-01,21812
Johor,Kulai,primary,both,2019-01-01,21970
Johor,Kulai,primary,both,2020-01-01,21978
Johor,Kulai,primary,both,2021-01-01,21953
Johor,Kulai,primary,both,2022-01-01,21871
Johor,Kulai,primary,both,2023-06-30,34134
Johor,Kulai,primary,both,2024-06-30,34441
Johor,Kulai,primary,both,2025-06-30,34667
Johor,Kulai,primary,female,2017-01-01,15942
Johor,Kulai,primary,female,2018-01-01,10638
Johor,Kulai,primary,female,2019-01-01,10687
Johor,Kulai,primary,female,2020-01-01,10590
Johor,Kulai,primary,female,2021-01-01,10456
Johor,Kulai,primary,female,2022-01-01,10416
Johor,Kulai,primary,female,2023-06-30,16344
Johor,Kulai,primary,female,2024-06-30,16521
Johor,Kulai,primary,female,2025-06-30,16601
Johor,Kulai,primary,male,2017-01-01,16900
Johor,Kulai,primary,male,2018-01-01,11174
Johor,Kulai,primary,male,2019-01-01,11283
Johor,Kulai,primary,male,2020-01-01,11388
Johor,Kulai,primary,male,2021-01-01,11497
Johor,Kulai,primary,male,2022-01-01,11455
Johor,Kulai,primary,male,2023-06-30,17790
Johor,Kulai,primary,male,2024-06-30,17920
Johor,Kulai,primary,male,2025-06-30,18066
Johor,Kulai,secondary,both,2017-01-01,23039
Johor,Kulai,secondary,both,2018-01-01,14871
Johor,Kulai,secondary,both,2019-01-01,14630
Johor,Kulai,secondary,both,2020-01-01,14400
Johor,Kulai,secondary,both,2021-01-01,14383
Johor,Kulai,secondary,both,2022-01-01,14149
Johor,Kulai,secondary,both,2023-06-30,22142
Johor,Kulai,secondary,both,2024-06-30,22801
Johor,Kulai,secondary,both,2025-06-30,23315
Johor,Kulai,secondary,female,2017-01-01,11644
Johor,Kulai,secondary,female,2018-01-01,7324
Johor,Kulai,secondary,female,2019-01-01,7172
Johor,Kulai,secondary,female,2020-01-01,7003
Johor,Kulai,secondary,female,2021-01-01,7011
Johor,Kulai,secondary,female,2022-01-01,6839
Johor,Kulai,secondary,female,2023-06-30,10877
Johor,Kulai,secondary,female,2024-06-30,11161
Johor,Kulai,secondary,female,2025-06-30,11316
Johor,Kulai,secondary,male,2017-01-01,11395
Johor,Kulai,secondary,male,2018-01-01,7547
Johor,Kulai,secondary,male,2019-01-01,7458
