date,category,function,value
2014-04-01,economy,other,1551
2014-07-01,economy,other,1051
2014-10-01,economy,other,2009
2015-01-01,economy,other,392
2015-04-01,economy,other,756
2015-07-01,economy,other,929
2015-10-01,economy,other,2135
2016-01-01,economy,other,1208
2016-04-01,economy,other,1979
2016-07-01,economy,other,915
2016-10-01,economy,other,2514
2017-01-01,economy,other,1183
2017-04-01,economy,other,1073
2017-07-01,economy,other,1530
2017-10-01,economy,other,1477
2018-01-01,economy,other,1920
2018-04-01,economy,other,1634
2018-07-01,economy,other,717
2018-10-01,economy,other,7929
2019-01-01,economy,other,2292
2019-04-01,economy,other,2780
2019-07-01,economy,other,2027
2019-10-01,economy,other,2322
2020-01-01,economy,other,2608
2020-04-01,economy,other,1064
2020-07-01,economy,other,3194
2020-10-01,economy,other,2174
2021-01-01,economy,other,5277
2021-04-01,economy,other,1913
2021-07-01,economy,other,7010
2021-10-01,economy,other,-2237
2022-01-01,economy,other,4451
2022-04-01,economy,other,2316
2022-07-01,economy,other,3146
2022-10-01,economy,other,5427
2023-01-01,economy,other,15620
2023-04-01,economy,other,3872
2023-07-01,economy,other,4573
2023-10-01,economy,other,7008
2024-01-01,economy,other,4526
1996-01-01,social,total,399
1996-04-01,social,total,617
1996-07-01,social,total,976
1996-10-01,social,total,1992
1997-01-01,social,total,459
1997-04-01,social,total,840
1997-07-01,social,total,1210
1997-10-01,social,total,2410
1998-01-01,social,total,609
